Name,Price,Description,Categories,Images,Details,Available
"Orange Button Apple on Wood",70,"This artwork features an apple made of colorful orange buttons glued onto a wood board. A vibrant and cheerful decor piece with a handmade charm.","Button Art","11A_20251115.jpg, 11B_20251115.jpg, 11C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Ready to display"": ""Yes""}",TRUE
"Green Button Christmas Tree on Wood",70,"Festive Christmas tree made of assorted green and blue buttons adhered to a stained wood board. A charming and handmade holiday decor piece with unique button details.","Button Art, Holiday Decor","12A_20251115.jpg, 12B_20251115.jpg, 12C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Ready to display"": ""Yes""}",TRUE
"Jeweled Figure on Blue Velvet Frame",70,"Unique art piece featuring jeweled components arranged on a deep blue velvet background. Silver-toned frame beautifully surrounds the creative design featuring blue and silver jewelry pieces in a creative arrangement.","Jewelry Art","13A_20251115.jpg, 13B_20251115.jpg, 13C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Vintage jewelry, beads, findings"", ""Frame included"": ""Yes"", ""Ready to hang"": ""Yes"", ""Frame size"": ""Approximately 8\"" x 10\""""}",TRUE
"Button Christmas Tree on Stained Wood",70,"Handmade button art featuring a Christmas tree design. Various green and brown buttons are arranged on a stained wooden backing to create a whimsical holiday theme.","Button Art, Holiday Decor","14A_20251115.jpg, 14B_20251115.jpg, 14C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Ready to display"": ""Yes""}",TRUE
"Vintage Jewelry Floral Art on Wood",70,"Handmade wall art featuring vintage jewelry arranged in a floral design on a painted wooden background. This unique piece showcases repurposed brooches, earrings, and chains for a charming vintage aesthetic.","Jewelry Art","15A_20251115.jpg, 15B_20251115.jpg, 15C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Vintage jewelry, beads, findings"", ""Frame included"": ""Yes"", ""Ready to hang"": ""Yes"", ""Frame size"": ""Approximately 8\"" x 10\""""}",TRUE
"Toy and Bead Christmas Wreath",55,"Handmade Christmas wreath featuring miniature toys, red berries, and gold glitter beads on a jute rope base. This unique festive decoration adds charm to any space.","Holiday Decor","16A_20251115.jpg, 16B_20251115.jpg, 16C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Type"": ""Wreath"", ""Ready to hang"": ""Yes""}",TRUE
"Framed Pendant and Stone Assemblage Art",65,"Unique framed assemblage art featuring colorful stones, beads, and a pendant on a dark background, framed in gold. This charming piece will add a touch of elegance to any room.","Mixed Media","17A_20251115.jpg, 17B_20251115.jpg, 17C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Ready to display"": ""Yes""}",TRUE
"Handmade Miniature Room Diorama with Plants",48,"Handmade diorama featuring miniature plants, stools, and beaded accents, displayed in a small room. This unique scene creates a whimsical and charming display. Ready to display.","Dioramas","18A_20251115.jpg, 18B_20251115.jpg, 18C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Type"": ""Diorama"", ""Dimensions"": ""Approximately 6\"" x 8\"""", ""Ready to display"": ""Yes""}",TRUE
"Holiday Tree Diorama with Snowman",48,"Handmade holiday diorama featuring painted Christmas trees and a snowman ornament. A cheerful holiday scene is displayed in a simple wooden frame. Ready to display.","Dioramas, Holiday Decor","19A_20251115.jpg, 19B_20251115.jpg, 20A_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Type"": ""Diorama"", ""Dimensions"": ""Approximately 6\"" x 8\"""", ""Ready to display"": ""Yes""}",TRUE
"Vintage Floral Embellished Mixed Media Art",65,"Intricate mixed media art featuring vintage paper, floral designs, and jewelry embellishments. Mounted on a wooden board and finished with a rope hanger, it's an eye-catching, unique piece to treasure.","Mixed Media","21A_20251115.jpg, 21B_20251115.jpg, 21C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Mixed media, vintage papers, embellishments"", ""Frame included"": ""Yes"", ""Ready to hang"": ""Yes""}",TRUE
"Christmas Ornament Embellished Mixed Media Art",65,"Festive mixed media art featuring Christmas-themed embellishments arranged in an ornament shape. The piece is mounted on a stained wooden board. A unique, holiday-inspired piece.","Mixed Media, Holiday Decor","22A_20251115.jpg, 22B_20251115.jpg, 22C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Mixed media, vintage papers, embellishments"", ""Frame included"": ""Yes"", ""Ready to hang"": ""Yes""}",TRUE
"Handmade Christmas Shadow Box Art",65,"Handmade shadow box featuring Christmas miniatures in six compartments creating a festive scene. The dimensional holiday display showcases ornaments, snowmen, and a miniature Santa with his reindeer, all arranged in a charming way.","Mixed Media","23A_20251115.jpg, 23B_20251115.jpg, 23C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Ready to display"": ""Yes""}",TRUE
"Vintage Christmas Brooch Wreath Framed Art",55,"Festive vintage Christmas brooches are arranged in a wreath shape, secured within a gray wooden frame, and set against a deep green background to showcase the brooches.","Jewelry Art, Holiday Decor","24A_20251115.jpg, 24B_20251115.jpg, 24C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Type"": ""Wreath"", ""Ready to hang"": ""Yes""}",TRUE
"Miniature Log Cabin Framed Art",65,"This framed art features a miniature log cabin with a blue background and figurines, including an owl, gnome, and a frog. The small scale and rustic materials make it a charming addition to any decor.","Dioramas","25A_20251115.jpg, 25B_20251115.jpg, 25C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Ready to display"": ""Yes""}",TRUE
"Button Christmas Tree Holiday Wall Art",70,"Festive wall art features a Christmas tree design. Colorful buttons are arranged on a dark-stained wooden board, making it a charming holiday decoration for any room.","Button Art, Holiday Decor","26A_20251115.jpg, 26B_20251115.jpg, 26C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Ready to display"": ""Yes""}",TRUE
"Seashell Turkey Wall Art Decoration",35,"Festive turkey design featuring seashells arranged on a gray-washed wooden board. Charming holiday decoration for any room. Whimsical and unique, ready to hang on any wall.","Shell Art, Holiday Decor","27A_20251115.jpg, 27B_20251115.jpg, 27C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Seashells, natural materials"", ""Mounted on"": ""Weathered wood"", ""Ready to hang"": ""Yes""}",TRUE
"Seashell Puppy Wall Art Decoration",35,"This wall art features a charming puppy design with seashells arranged on a gray-washed wooden board with rope detailing. A unique piece for any room.","Shell Art","28A_20251115.jpg, 28B_20251115.jpg, 28C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Seashells, natural materials"", ""Mounted on"": ""Weathered wood"", ""Ready to hang"": ""Yes""}",TRUE
"Seashell Couple Wall Art",35,"Lovely seashell arrangement of a couple on a gray-washed wooden board with rope detailing. This unique piece will look good in any room; its unique arrangement adds a touch of coastal charm.","Shell Art","30A_20251115.jpg, 30B_20251115.jpg, 30C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Seashells, natural materials"", ""Mounted on"": ""Weathered wood"", ""Ready to hang"": ""Yes""}",TRUE
"Seashell Figure on Painted Wood",35,"A unique seashell creation mounted on a gray-washed wooden board. This piece features a large central seashell, creatively assembled with smaller shells to form an interesting figure.","Shell Art","31A_20251115.jpg, 31B_20251115.jpg, 31C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Seashells, natural materials"", ""Mounted on"": ""Weathered wood"", ""Ready to hang"": ""Yes""}",TRUE
"Seashell Flower on Framed Blue Board",35,"This art piece features a unique seashell flower creation mounted on a light blue board. Various shells are creatively assembled to form an interesting floral figure inside a textured frame. The piece is tied together with a twine bow.","Shell Art","32A_20251115.jpg, 32B_20251115.jpg, 32C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Seashells, natural materials"", ""Mounted on"": ""Weathered wood"", ""Ready to hang"": ""Yes""}",TRUE
"Miniature Toy Christmas Wreath",55,"This wreath is crafted with yarn and embellished with an array of miniature Christmas themed toys. It is finished with a red ribbon bow.","Holiday Decor","33A_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Type"": ""Wreath"", ""Ready to hang"": ""Yes""}",TRUE
"""Ewe Rock"" Beaded Sheep Wood Sign",45,"Handmade wood sign featuring a beaded sheep with a black felt face and legs. The words ""ewe rock"" are painted in pink above and below the sheep. Perfect for a nursery or as a gift.","Button Art","34A_20251115.jpg, 34B_20251115.jpg, 34C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Wood, buttons/beads"", ""Type"": ""Wood Sign"", ""Ready to display"": ""Yes""}",TRUE
"Black Button Cat Wood Sign",70,"Handmade wood sign featuring a black cat design crafted from various black buttons and embellishments. The design is secured with thin red strips. Perfect decor for any cat lover.","Button Art","35A_20251115.jpg, 35B_20251115.jpg, 35C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Wood, buttons/beads"", ""Type"": ""Wood Sign"", ""Ready to display"": ""Yes""}",TRUE
"Pearl Snowman & Tree Holiday Wood Sign",45,"Handmade wood sign with a pearl snowman, Christmas tree, and ""snowfall"" embellishments. The snowman has a red scarf and wooden stick arms. Great holiday decor for winter.","Mixed Media","36A_20251115.jpg, 36B_20251115.jpg, 36C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Wood, buttons/beads"", ""Type"": ""Wood Sign"", ""Ready to display"": ""Yes""}",TRUE
"Pearl & Gold Floral Wood Block",65,"Handmade wood block featuring mixed pearl and gold-toned floral embellishments. A unique decorative piece adding elegance to your space. Great gift for weddings, anniversaries, or birthdays.","Mixed Media","37A_20251115.jpg, 37B_20251115.jpg, 37C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Mixed media, vintage papers, embellishments"", ""Frame included"": ""Yes"", ""Ready to hang"": ""Yes""}",TRUE
"Seashell Turtle Framed Mixed Media Art",35,"Handmade wall art featuring a seashell turtle on a turquoise background, accented with clear beads. Framed in distressed brown wood, ready to hang.","Shell Art","38A_20251115.jpg, 38B_20251115.jpg, 38C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Seashells, natural materials"", ""Mounted on"": ""Weathered wood"", ""Ready to hang"": ""Yes""}",TRUE
"Handmade Sheep Greeting Card",8,"Handmade greeting card with a sheep design. Features a white pearl bead sheep head with a black felt face. Surrounded by pink hearts and a ""BAAAA"" speech bubble.","Greeting Cards","39A_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Type"": ""Greeting Card"", ""Size"": ""Standard greeting card size""}",TRUE
"Handmade Ewe Are Awesome Sheep Card",8,"Handmade greeting card featuring a sheep design. It features a white pearl bead sheep head with a black felt face. The sheep is surrounded by a colorful banner and a ""EWE ARE AWESOME"" message.","Greeting Cards","40A_20251115.jpg, 40B_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Type"": ""Greeting Card"", ""Size"": ""Standard greeting card size""}",TRUE
"Handmade Happy Birthday Sheep Greeting Card",8,"A handmade birthday greeting card featuring two sheep with white pearl bead heads and black felt faces. The message 'HAPPY BIRTHDAY' is printed above the sheep on the brown card.","Greeting Cards","41A_20251115.jpg, 41B_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Type"": ""Greeting Card"", ""Size"": ""Standard greeting card size""}",TRUE
"Fleece Navidad Sheep Greeting Card",8,"Handmade greeting card featuring a single sheep with white pearl beads and a black felt face. A Christmas tree is drawn near the sheep. The message 'FLEECE NAVIDAD' is printed on the card.","Greeting Cards, Holiday Decor","42A_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Type"": ""Greeting Card"", ""Size"": ""Standard greeting card size""}",TRUE
"Christmas Sheep Greeting Card",8,"Handmade greeting card featuring a sheep made of white pearl beads and black felt with a purple scarf. There are multiple Christmas trees drawn on the kraft card stock.","Greeting Cards, Holiday Decor","43A_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Type"": ""Greeting Card"", ""Size"": ""Standard greeting card size""}",TRUE
